layer,tensor,c_norm,ref_norm,best_scale,sc_inv_eps
24,ffn.up_proj,2477545.397742088,3674.0134414392423,0.001277543105291907,0.5077536626966482
24,ffn_sub_norm.output,472372.2618507568,55.02967940770857,5.6503817146956326e-05,0.8744996238062824
24,block_output,1539370227.7719305,275055.9346870725,0.00017568168753078457,0.1824499612029239
25,input_layernorm.output,1213.015663542726,0.21373409616356334,0.00013055086642383852,0.6715913367905474
25,attn.q_pre_rope,147007.13372146265,27.25447818171125,0.00016867468813618682,0.4150261710396932
25,attn.k_pre_rope,167636.24548706642,30.022179014879043,0.00016361770713868164,0.4066144631854569
25,attn.v,277785.4100398363,62.633630773836636,0.00022083058676527798,0.20191917169998896
25,attn_sub_norm.output,665226.5169286324,99.12830463380679,0.00011254756085952045,0.6554023061646921
25,post_attention_layernorm.output,118280.9969352643,19.833916427107226,0.00013420270115566962,0.599563048882481
25,ffn.up_proj,2384741.842793261,3429.6013839365246,0.0012477702682304717,0.49721807387810296
25,ffn_sub_norm.output,526741.3097707451,71.71038451789903,8.18077853383803e-05,0.7993161366878866
25,block_output,1649866281.8432033,296838.2650820574,0.00017730831012056897,0.16965796866459662
26,input_layernorm.output,1048.9675876784754,0.1756739292514825,0.00011947232585551371,0.7007754969318569
26,attn.q_pre_rope,138240.23149937214,23.279094861240168,0.00015370944691528457,0.4084383711492073
26,attn.k_pre_rope,133270.66555697843,24.700723587892266,0.00016595019654163293,0.4453224775489169
26,attn.v,216598.66567917727,49.09924150469845,0.0002211051397232288,0.22047138272700545
26,attn_sub_norm.output,800971.6259400204,116.84207610796938,0.00011046840024798253,0.6530914709151153
26,post_attention_layernorm.output,116512.48297929282,18.989280434420298,0.00013075921723094014,0.5969223428885038
26,ffn.up_proj,2649465.9286922337,3638.154696326969,0.0012163235084498244,0.4641037789525255
26,ffn_sub_norm.output,482838.1039333992,70.66291921681021,8.788046310841211e-05,0.7996358806044995
26,block_output,1723385661.5530095,310470.84303446475,0.00017771241675396763,0.16400275279230486
27,input_layernorm.output,1001.5113578986511,0.16050118514381526,0.00011071670076485238,0.7229874629554296
27,attn.q_pre_rope,137657.59024841312,20.41074859403856,0.00013675487605699675,0.3864147042125674
27,attn.k_pre_rope,137398.94558911287,24.490557216403637,0.00016226532459514225,0.41382969471623027
27,attn.v,260212.32685635783,56.51093596434309,0.0002129341451061952,0.19659705752170847
27,attn_sub_norm.output,979311.122838396,144.2097812875599,0.0001238987135151953,0.5404422260989292
27,post_attention_layernorm.output,128209.51321567367,21.256813559762673,0.0001340052298095971,0.5888442799287876
27,ffn.up_proj,3206524.8696531267,4655.687874254872,0.001319699317817367,0.41697014001062566
27,ffn_sub_norm.output,679811.2804381816,111.66785938568509,8.050677546175612e-05,0.8716611986511709
27,block_output,1712008124.8682053,309901.3885303376,0.00017843789783229136,0.1681821934572398
28,input_layernorm.output,1330.5852095976416,0.20747858919683676,0.00011025778571630614,0.7071170879070459
28,attn.q_pre_rope,167921.74781724968,23.74389623797483,0.00012910898023468702,0.4077683216828062
28,attn.k_pre_rope,145387.3534183768,26.49498966860286,0.0001632044502629268,0.44493999681273144
28,attn.v,268960.5517041486,63.8744811793125,0.00023143938761520063,0.22422538185813054
28,attn_sub_norm.output,1946321.1404233887,303.61275404614406,0.00014620789404733901,0.34860083874425246
28,post_attention_layernorm.output,120702.34034599329,20.656896217943824,0.00013618397621492008,0.6056252780889088
28,ffn.up_proj,4156121.0334109617,5523.525776421322,0.0012473766676085998,0.3450727494819084
28,ffn_sub_norm.output,1209384.0069874416,221.54809329760283,0.00011314360761118658,0.7864712141759204
28,block_output,1747821183.0349205,314397.09598183713,0.00017709992705696275,0.17511542266235497
29,input_layernorm.output,2097.70946510712,0.373510369296679,0.000137253018657414,0.6370280784921021
29,attn.q_pre_rope,190886.28625964726,29.07831056243561,0.0001394765806028694,0.40208522130411395
29,attn.k_pre_rope,194252.04962367835,35.086240411805186,0.0001722592621506793,0.3007625141553475
29,attn.v,122638.4176512401,23.090033544284076,0.00015309666872301294,0.5820619065658779
29,attn_sub_norm.output,3136460.36488842,516.5592502495037,0.00013809746536180267,0.5448947590556332
29,post_attention_layernorm.output,100699.69105712291,15.57396272364825,0.00010138135381039615,0.7551763104109481
29,ffn.up_proj,4286189.964689969,6085.562809202165,0.0013094406621207873,0.3865543777251415
29,ffn_sub_norm.output,2577146.110258206,457.23446775267564,8.360823785165206e-05,0.8820009641336349
29,block_output,1296757684.0810568,244003.29899066556,0.00017861086006810072,0.314585954896518
